date,formula,direction,entry,pnl_pts,reason,held_bars,gap
2024-08-16,01_gap,long,22250.35,72.06000000000131,time_1330,52,393.6142857142877
2024-08-29,01_gap,short,22109.16,-52.0,stop,21,-315.45857142857494
2024-09-02,01_gap,long,22406.56,-52.0,stop,1,141.971428571429
2024-09-04,01_gap,short,21000.61,-52.0,stop,1,-985.0785714285703
2024-09-05,01_gap,long,21376.44,-52.0,stop,35,258.6528571428571
2024-09-09,01_gap,short,21029.66,-52.0,stop,37,-492.2142857142826
2024-09-10,01_gap,long,21314.5,-52.0,stop,1,160.51142857142986
2024-09-12,01_gap,long,21505.84,-52.0,stop,2,521.8328571428538
2024-09-13,01_gap,long,21739.31,-52.0,stop,11,125.27857142856737
2024-09-20,01_gap,long,22334.72,-52.0,stop,2,272.17857142857247
2024-09-25,01_gap,long,22713.93,-52.0,stop,3,248.82000000000335
2024-09-26,01_gap,long,22912.67,-52.0,stop,1,166.28285714285812
2024-09-27,01_gap,long,23056.0,-52.0,stop,4,164.1314285714252
2024-09-30,01_gap,short,22628.53,-52.0,stop,5,-215.78714285714523
2024-10-01,01_gap,long,22429.46,-52.0,stop,2,176.92428571428536
2024-10-07,01_gap,long,22569.5,99.7599999999984,time_1330,52,236.6428571428587
2024-10-09,01_gap,long,22830.8,-52.0,stop,11,265.0585714285735
2024-10-11,01_gap,long,22805.62,148.0,tp,5,112.93428571428376
2024-10-15,01_gap,long,23168.25,-52.0,stop,1,141.44285714285797
2024-10-16,01_gap,short,22925.2,-52.0,stop,2,-373.0642857142848
2024-10-17,01_gap,long,23068.52,-52.0,stop,3,124.59428571428361
2024-10-18,01_gap,long,23615.71,-52.0,stop,2,587.8985714285736
2024-10-21,01_gap,long,23613.4,-52.0,stop,6,134.99142857142942
2024-10-22,01_gap,short,23341.86,-52.0,stop,1,-143.76142857142622
2024-10-23,01_gap,short,23435.34,-52.0,stop,5,-151.11142857143204
2024-10-25,01_gap,long,23374.09,-52.0,stop,1,111.86857142857116
2024-10-28,01_gap,long,23533.21,-52.0,stop,1,194.47999999999956
2024-10-29,01_gap,short,23009.46,148.0,tp,8,-155.9171428571426
2024-11-01,01_gap,short,22393.06,-52.0,stop,1,-543.6314285714288
2024-11-08,01_gap,long,23640.73,-52.0,stop,5,259.8057142857142
2024-11-12,01_gap,short,23205.13,148.0,tp,20,-308.9971428571407
2024-11-15,01_gap,long,22877.43,-52.0,stop,1,128.4728571428568
2024-11-19,01_gap,long,22699.37,-52.0,stop,1,151.1457142857107
2024-11-22,01_gap,long,22885.03,74.88999999999942,time_1330,52,335.27999999999884
2024-11-25,01_gap,long,23077.56,-52.0,stop,15,182.48428571428667
2024-11-26,01_gap,short,22741.1,-52.0,stop,6,-190.22857142857174
2024-11-29,01_gap,short,22063.35,-52.0,stop,1,-193.35428571428565
2024-12-02,01_gap,long,22614.21,148.0,tp,17,320.0528571428622
2024-12-03,01_gap,long,23033.18,-52.0,stop,22,334.69857142856927
2024-12-04,01_gap,long,23143.11,-52.0,stop,1,139.64428571428653
2024-12-11,01_gap,short,22906.42,-52.0,stop,1,-207.5628571428606
2024-12-12,01_gap,long,23126.4,-52.0,stop,12,209.8428571428558
2024-12-16,01_gap,long,23219.44,-52.0,stop,2,227.69142857143015
2024-12-19,01_gap,short,22875.2,-52.0,stop,49,-373.04428571428434
2024-12-20,01_gap,short,22801.34,148.0,tp,38,-139.5214285714319
2024-12-23,01_gap,long,22887.61,148.0,tp,5,390.3757142857103
2024-12-24,01_gap,long,23312.66,-52.0,stop,1,206.4628571428584
2024-12-25,01_gap,long,23250.57,-52.0,stop,19,141.2642857142855
2024-12-31,01_gap,short,23042.24,-52.0,stop,46,-106.83714285714086
2025-01-03,01_gap,long,23033.57,-52.0,stop,6,244.04714285714
2025-01-06,01_gap,long,23245.46,148.0,tp,14,358.25285714285565
2025-01-07,01_gap,long,23877.66,-52.0,stop,1,354.7042857142842
2025-01-08,01_gap,short,23570.61,-52.0,stop,1,-132.85999999999694
2025-01-14,01_gap,long,22653.1,-52.0,stop,1,125.19571428571726
2025-01-16,01_gap,long,22913.48,148.0,tp,24,454.0185714285726
2025-01-17,01_gap,long,23094.18,-52.0,stop,1,147.1785714285761
2025-01-22,01_gap,long,23586.44,-52.0,stop,1,267.7599999999984
2025-02-03,01_gap,short,22571.04,-52.0,stop,1,-991.2971428571473
2025-02-04,01_gap,long,22880.2,-52.0,stop,4,195.94571428571362
2025-02-05,01_gap,long,23110.83,40.25,time_1330,52,251.55571428571784
2025-02-06,01_gap,long,23344.55,-52.0,stop,1,140.93428571428376
2025-02-11,01_gap,long,23454.27,-52.0,stop,3,152.17571428571682
2025-02-14,01_gap,short,23242.44,39.56999999999971,time_1330,52,-202.90428571428492
2025-02-17,01_gap,long,23339.57,-52.0,stop,1,143.57285714285536
2025-02-24,01_gap,short,23529.96,-52.0,stop,32,-240.2957142857158
2025-02-25,01_gap,short,23321.04,14.5,time_1330,52,-241.32142857143117
2025-03-03,01_gap,short,22714.84,-52.0,stop,1,-410.4114285714277
2025-03-04,01_gap,short,22359.5,-52.0,stop,1,-355.7314285714274
2025-03-05,01_gap,long,22823.45,103.91999999999825,time_1330,52,283.93714285714304
2025-03-11,01_gap,short,21892.6,-52.0,stop,7,-514.0914285714243
2025-03-12,01_gap,long,22170.34,148.0,tp,13,131.00857142857058
2025-03-13,01_gap,long,22495.78,-52.0,stop,1,238.221428571429
2025-03-17,01_gap,long,22161.51,-52.0,stop,51,243.19285714285434
2025-03-18,01_gap,long,22285.14,-52.0,stop,10,156.46285714285477
2025-03-20,01_gap,long,22261.75,92.70000000000073,time_1330,52,280.35142857143
2025-03-24,01_gap,long,22353.04,-52.0,stop,3,158.23571428571813
2025-03-25,01_gap,long,22344.17,-52.0,stop,15,260.97428571428463
2025-03-27,01_gap,short,21984.5,41.20000000000073,time_1330,52,-268.50571428571493
2025-03-28,01_gap,short,21726.6,-52.0,stop,2,-176.27142857142826
2025-03-31,01_gap,short,21045.89,148.0,tp,14,-611.9285714285688
2025-04-01,01_gap,long,20993.3,148.0,tp,13,302.9042857142849
2025-04-07,01_gap,short,19227.69,-2.3400000000001455,time_1330,52,-2082.8428571428594
2025-04-08,01_gap,short,18436.01,-52.0,stop,3,-821.9342857142838
2025-04-09,01_gap,short,18174.92,-52.0,stop,1,-267.58000000000175
2025-04-10,01_gap,long,19006.85,-0.31999999999970896,time_1330,52,1585.9457142857173
2025-04-11,01_gap,short,18548.58,-52.0,stop,1,-480.89571428571435
2025-04-14,01_gap,long,19964.34,-52.0,stop,2,327.6714285714261
2025-04-23,01_gap,long,19371.64,148.0,tp,19,534.6914285714302
2025-04-25,01_gap,long,19987.85,-52.0,stop,2,507.3442857142836
2025-05-02,01_gap,long,20587.56,148.0,tp,51,371.78571428571377
2025-05-09,01_gap,long,20760.08,-52.0,stop,1,192.15999999999622
2025-05-12,01_gap,long,21093.81,21.43999999999869,time_1330,52,126.46428571428623
2025-05-13,01_gap,long,21532.0,-52.0,stop,1,481.46428571428623
2025-05-14,01_gap,long,21615.5,148.0,tp,51,307.4442857142858
2025-05-20,01_gap,long,21727.47,-52.0,stop,3,189.87428571428245
