date,formula,direction,entry,pnl_pts,reason,held_bars
2024-09-11,03_resonance,long,21071.38,21.039999999997235,time_1330,10
2024-09-13,03_resonance,long,21696.65,30.169999999998254,time_1330,24
2024-09-16,03_resonance,short,21762.62,-52.0,stop,21
2024-09-18,03_resonance,short,21810.52,148.0,tp,22
2024-09-19,03_resonance,long,21954.54,33.68000000000029,time_1330,18
2024-09-20,03_resonance,long,22222.56,-52.0,stop,8
2024-09-23,03_resonance,long,22231.8,-0.8899999999994179,time_1330,51
2024-09-24,03_resonance,short,22220.49,-52.0,stop,22
2024-09-25,03_resonance,long,22784.44,-52.0,stop,2
2024-09-27,03_resonance,short,23010.34,148.0,tp,14
2024-09-30,03_resonance,short,22452.24,56.80000000000291,time_1330,9
2024-10-01,03_resonance,short,22340.54,-52.0,stop,19
2024-10-04,03_resonance,long,22325.6,-52.0,stop,6
2024-10-07,03_resonance,long,22654.18,15.079999999998108,time_1330,11
2024-10-09,03_resonance,long,22820.05,-52.0,stop,7
2024-10-11,03_resonance,long,22816.7,148.0,tp,5
2024-10-14,03_resonance,short,22920.26,-52.0,stop,6
2024-10-15,03_resonance,long,23328.57,-0.23999999999796273,time_1330,1
2024-10-16,03_resonance,short,23130.6,148.0,tp,9
2024-10-17,03_resonance,short,22969.03,-52.0,stop,6
2024-10-18,03_resonance,long,23485.26,0.010000000002037268,time_1330,1
2024-10-21,03_resonance,long,23648.61,-52.0,stop,9
2024-10-22,03_resonance,short,23423.03,-52.0,stop,7
2024-10-23,03_resonance,short,23381.99,-52.0,stop,3
2024-10-24,03_resonance,short,23290.87,-52.0,stop,3
2024-10-25,03_resonance,long,23352.85,-52.0,stop,11
2024-10-28,03_resonance,long,23347.29,-52.0,stop,2
2024-10-30,03_resonance,long,22874.32,-52.0,stop,1
2024-11-04,03_resonance,long,22935.88,-52.0,stop,7
2024-11-05,03_resonance,long,23024.6,148.0,tp,3
2024-11-06,03_resonance,long,23188.81,148.0,tp,3
2024-11-07,03_resonance,long,23429.84,-52.0,stop,1
2024-11-12,03_resonance,short,23085.92,-52.0,stop,10
2024-11-13,03_resonance,short,22879.94,-52.0,stop,4
2024-11-14,03_resonance,short,22751.46,-52.0,stop,35
2024-11-15,03_resonance,long,22811.33,-52.0,stop,5
2024-11-18,03_resonance,short,22535.76,-52.0,stop,1
2024-11-20,03_resonance,long,22911.51,-52.0,stop,1
2024-11-21,03_resonance,short,22603.47,-47.97999999999956,time_1330,12
2024-11-22,03_resonance,long,22991.1,-52.0,stop,2
2024-11-25,03_resonance,long,23003.5,-52.0,stop,11
2024-11-26,03_resonance,short,22740.02,-3.709999999999127,time_1330,8
2024-11-27,03_resonance,short,22491.82,138.47000000000116,time_1330,18
2024-11-28,03_resonance,short,22219.0,-52.0,stop,1
2024-11-29,03_resonance,long,22271.36,-52.0,stop,3
2024-12-04,03_resonance,short,23137.32,-52.0,stop,11
2024-12-05,03_resonance,short,23240.67,-52.0,stop,4
2024-12-06,03_resonance,short,23233.58,-52.0,stop,4
2024-12-09,03_resonance,short,23220.0,-52.0,stop,2
2024-12-10,03_resonance,short,23196.49,118.26000000000204,time_1330,46
2024-12-11,03_resonance,short,22977.17,-52.0,stop,4
2024-12-12,03_resonance,long,23110.22,-52.0,stop,5
2024-12-13,03_resonance,long,23040.69,-28.529999999998836,time_1330,37
2024-12-16,03_resonance,short,22964.98,0.7700000000004366,time_1330,1
2024-12-17,03_resonance,long,23114.88,-52.0,stop,9
2024-12-18,03_resonance,short,23044.73,-52.0,stop,14
2024-12-19,03_resonance,short,22751.9,-52.0,stop,8
2024-12-20,03_resonance,short,22800.09,148.0,tp,38
