date,formula,direction,entry,pnl_pts,reason,held_bars,key
2025-02-18,02_cross,long,23503.54,107.86000000000058,time_1330,51,23465.0
2025-02-21,02_cross,short,23500.98,-244.0,stop,6,23525.0
2025-02-26,02_cross,short,23239.8,-244.0,stop,47,23285.0
2025-03-04,02_cross,short,22647.63,-6.799999999995634,time_1330,12,22685.0
2025-03-06,02_cross,long,22911.7,-244.0,stop,18,22875.0
2025-03-10,02_cross,short,22491.57,24.139999999999418,time_1330,51,22590.0
2025-03-13,02_cross,short,22209.77,354.8799999999974,time_1330,25,22230.0
2025-03-18,02_cross,short,22208.4,-65.09999999999854,time_1330,35,22210.0
2025-03-19,02_cross,short,22228.6,506.59999999999854,time_1330,52,22245.0
2025-03-20,02_cross,long,22261.75,185.40000000000146,time_1330,52,21975.0
2025-03-21,02_cross,short,22228.77,-3.4400000000023283,time_1330,37,22250.0
2025-03-24,02_cross,long,22270.1,-244.0,stop,24,22270.0
2025-03-26,02_cross,long,22375.2,-244.0,stop,15,22275.0
2025-04-07,02_cross,short,19227.69,-4.680000000000291,time_1330,52,21295.0
2025-04-08,02_cross,short,18436.01,-244.0,stop,3,19230.0
2025-04-10,02_cross,long,19006.85,-0.6399999999994179,time_1330,52,17410.0
2025-04-11,02_cross,short,18952.08,-244.0,stop,2,19015.0
2025-04-15,02_cross,long,19775.49,190.59999999999854,time_1330,39,19755.0
2025-04-16,02_cross,short,19655.22,254.3000000000029,time_1330,52,19840.0
2025-04-18,02_cross,long,19401.04,6.239999999997963,time_1330,50,19385.0
2025-04-24,02_cross,short,19518.3,99.37999999999738,time_1330,31,19520.0
2025-05-05,02_cross,short,20593.27,92.62000000000262,time_1330,46,20605.0
2025-05-06,02_cross,short,20521.77,-42.15999999999622,time_1330,46,20555.0
2025-05-07,02_cross,long,20586.25,-244.0,stop,3,20575.0
2025-05-09,02_cross,long,20720.8,365.8400000000038,time_1330,50,20710.0
2025-05-16,02_cross,short,21740.0,-138.59999999999854,time_1330,50,21740.0
2025-05-20,02_cross,long,21687.84,-244.0,stop,21,21685.0
2025-05-21,02_cross,long,21655.07,423.58000000000175,time_1330,52,21535.0
