formula,setup,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
03,5min_only,50,120,331,-2560.630000000001,-7.736042296072511,0.32326283987915405,0.7673097998447901,-2872.329999999998,0.16012084592145015,0.6163141993957704,-4043.333040031042
03,1min_only,40,150,331,-2108.0,-6.3685800604229605,0.24169184290030213,0.7961835662848171,-3969.719999999994,0.12386706948640483,0.7371601208459214,-4133.6232867430335
03,5min_only,50,250,331,-2655.920000000009,-8.023927492447157,0.31722054380664655,0.7603559398958916,-2927.1900000000096,0.006042296072507553,0.6193353474320241,-4167.443812020836
03,1min_only,60,150,331,-2207.3399999999892,-6.6687009063443785,0.32326283987915405,0.8323311720273949,-3998.8299999999836,0.1661631419939577,0.622356495468278,-4240.288765594502
03,5dir_1entry,40,120,331,-2371.9400000000096,-7.165981873111812,0.2628398791540785,0.7646303501559405,-4064.540000000001,0.15709969788519637,0.716012084592145,-4451.283929968822
03,1min_only,80,120,331,-2541.16,-7.677220543806646,0.40181268882175225,0.8284746545240759,-3825.4900000000016,0.2688821752265861,0.513595166163142,-4488.210069095186
03,1min_only,80,100,331,-2659.390000000003,-8.03441087613294,0.4199395770392749,0.815250857960624,-3865.5000000000036,0.33534743202416917,0.4984894259818731,-4629.08982840788
03,1min_only,80,200,331,-2518.760000000002,-7.609546827794568,0.36253776435045315,0.8388036929567332,-4416.169999999995,0.10574018126888217,0.540785498489426,-4759.084261408652
03,5min_only,50,100,331,-3159.099999999995,-9.544108761329289,0.32628398791540786,0.7115625165487941,-3532.0599999999977,0.20241691842900303,0.6132930513595166,-4982.817496690235
03,5dir_1entry,40,100,331,-2816.1200000000026,-8.507915407854993,0.27492447129909364,0.7158164228100077,-4371.689999999999,0.18731117824773413,0.7039274924471299,-5058.801715438
03,5min_only,40,200,331,-3375.2899999999936,-10.197250755286989,0.24169184290030213,0.6699002255243494,-3704.259999999991,0.03323262839879154,0.7250755287009063,-5293.43995489512
03,5min_only,40,150,331,-3551.03999999999,-10.72821752265858,0.24471299093655588,0.6512796742825837,-3885.3799999999865,0.06646525679758308,0.7220543806646526,-5563.474065143467
03,1min_only,80,150,331,-3255.189999999995,-9.834410876132916,0.3685800604229607,0.7894637103189749,-4627.789999999994,0.18429003021148035,0.5347432024169184,-5611.192257936197
03,5min_only,40,250,331,-3625.6699999999946,-10.953685800604214,0.24169184290030213,0.6454133276479553,-3954.639999999992,0.006042296072507553,0.7250755287009063,-5673.907334470399
