formula,tf,gap_mult,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
01,30min,0.3,50,300,192,3719.3400000000074,19.37156250000004,0.3541666666666667,1.6056688943604185,-888.3599999999933,0.03125,0.5989583333333334,3396.2937788720947
01,30min,0.2,50,200,230,3685.060000000005,16.02200000000002,0.3695652173913043,1.5086833666698418,-797.7900000000009,0.13478260869565217,0.5869565217391305,3387.9016733339727
01,30min,0.3,80,400,192,3890.540000000008,20.263229166666708,0.4375,1.5037184539931963,-1284.5699999999924,0.020833333333333332,0.4479166666666667,3348.9986907986513
01,30min,0.3,40,150,192,3527.1200000000026,18.37041666666668,0.359375,1.689616608108928,-655.8099999999977,0.25,0.625,3337.1383216217896
01,30min,0.35,50,400,176,3509.900000000005,19.942613636363664,0.3522727272727273,1.6244395895304657,-609.7499999999964,0.017045454545454544,0.5965909090909091,3329.9129179061
01,30min,0.5,30,400,126,3296.34,26.161428571428573,0.30158730158730157,2.1971237130250043,-436.6800000000003,0.023809523809523808,0.6666666666666666,3317.424742605001
01,30min,0.3,30,120,192,3336.7500000000036,17.378906250000018,0.3541666666666667,1.8460576893820313,-394.0,0.2916666666666667,0.6354166666666666,3308.9615378764097
01,30min,0.3,80,480,192,3823.850000000006,19.915885416666697,0.4375,1.4950839241601122,-1261.1099999999933,0.005208333333333333,0.4479166666666667,3292.3117848320317
01,30min,0.35,50,480,176,3453.220000000005,19.62056818181821,0.3522727272727273,1.6143557592405466,-586.2899999999972,0.005681818181818182,0.5965909090909091,3282.9461518481157
01,30min,0.5,30,480,126,3239.66,25.7115873015873,0.30158730158730157,2.1765393764413217,-436.6800000000003,0.007936507936507936,0.6666666666666666,3256.627875288264
01,30min,0.2,80,400,230,3814.399999999998,16.584347826086947,0.4391304347826087,1.4114494792161056,-1366.4599999999991,0.017391304347826087,0.44782608695652176,3213.4598958432193
01,30min,0.3,100,480,192,3695.8500000000095,19.24921875000005,0.4583333333333333,1.4290654908680582,-1142.5499999999884,0.010416666666666666,0.375,3210.388098173627
01,30min,0.3,100,400,192,3682.540000000012,19.179895833333394,0.4583333333333333,1.4275202815972672,-1166.0099999999875,0.026041666666666668,0.375,3185.0390563194715
01,30min,0.35,40,250,176,3320.05000000001,18.86392045454551,0.32954545454545453,1.6905678587102821,-590.4999999999964,0.0625,0.6363636363636364,3162.9135717420686
01,30min,0.2,80,480,230,3747.7099999999955,16.294391304347805,0.4391304347826087,1.4042558011097395,-1343.0,0.004347826086956522,0.44782608695652176,3157.0611602219433
01,30min,0.2,40,120,230,3211.7400000000052,13.964086956521761,0.3782608695652174,1.5393703365963525,-402.0,0.30434782608695654,0.6086956521739131,3118.614067319276
01,30min,0.2,60,300,230,3603.7299999999996,15.668391304347825,0.391304347826087,1.4427208487510994,-1151.6000000000022,0.030434782608695653,0.5478260869565217,3116.474169750218
01,30min,0.3,50,250,192,3410.4000000000124,17.762500000000063,0.3541666666666667,1.5553601438230371,-874.7699999999932,0.0625,0.5989583333333334,3084.087028764623
