formula,tf,retrace,sl,tp,trades,total_pnl,avg_pnl,win_rate,pf,max_dd,tp_rate,stop_rate,score
02,5min,80,60,120,208,-194.41999999999098,-0.9347115384614951,0.3798076923076923,0.9728997743274092,-1223.0399999999936,0.22596153846153846,0.5336538461538461,-811.360045134506
02,5min,30,40,150,164,-354.1899999999987,-2.1596951219512115,0.2926829268292683,0.9234014853005422,-973.9099999999926,0.11585365853658537,0.6585365853658537,-856.4647029398866
02,5min,30,80,120,164,-382.0399999999863,-2.329512195121868,0.45121951219512196,0.9369325347825248,-1010.3199999999779,0.2073170731707317,0.40853658536585363,-899.8134930434703
02,5min,80,80,120,208,-171.3699999999917,-0.8238942307691909,0.4326923076923077,0.9787662440649079,-1458.4999999999854,0.25,0.4375,-904.8667511870028
02,5min,20,50,120,155,-400.70999999999185,-2.5852258064515605,0.34838709677419355,0.9171504776082388,-1051.729999999996,0.16774193548387098,0.5741935483870968,-943.144904478342
02,5min,30,60,150,164,-437.1799999999894,-2.6657317073170086,0.3719512195121951,0.9234309813963119,-1006.7099999999919,0.13414634146341464,0.5304878048780488,-955.8488037207229
02,5min,30,60,200,164,-447.6899999999914,-2.7298170731706795,0.3597560975609756,0.9232569142316449,-1028.5899999999892,0.06707317073170732,0.5426829268292683,-977.3336171536571
02,5min,80,50,100,208,-351.58999999999287,-1.6903365384615041,0.35096153846153844,0.9453299808898291,-1309.949999999997,0.2692307692307692,0.5721153846153846,-1017.4990038220255
02,1min,20,40,200,156,-405.3499999999949,-2.5983974358974034,0.27564102564102566,0.9127192784133372,-1192.7099999999955,0.07051282051282051,0.6923076923076923,-1019.1611443173252
02,5min,50,80,120,190,-306.79999999998836,-1.614736842105202,0.43157894736842106,0.9582384464919902,-1485.729999999985,0.24210526315789474,0.43157894736842106,-1058.0173107015828
02,1min,20,40,100,156,-541.8199999999961,-3.473205128205103,0.32051282051282054,0.8754496909344616,-994.4599999999955,0.21153846153846154,0.6474358974358975,-1063.9600618131014
02,5min,50,50,120,190,-387.2299999999923,-2.038052631578907,0.3368421052631579,0.9362494114393161,-1336.5499999999884,0.2,0.5894736842105263,-1068.2551177121234
02,5min,30,50,150,164,-526.5399999999936,-3.2106097560975217,0.3231707317073171,0.9011699166436749,-1143.2499999999964,0.12804878048780488,0.5975609756097561,-1117.9310166712569
02,5min,30,60,250,164,-616.799999999992,-3.760975609756049,0.35365853658536583,0.8953799600381313,-1042.3399999999892,0.03048780487804878,0.5487804878048781,-1158.8940079923605
02,5min,30,80,100,164,-583.4399999999914,-3.5575609756097037,0.4573170731707317,0.9023635962005757,-1141.3199999999888,0.2804878048780488,0.4024390243902439,-1173.6272807598707
02,5min,80,60,100,208,-587.3899999999921,-2.823990384615347,0.38461538461538464,0.9174098825805573,-1247.7399999999943,0.28846153846153844,0.5288461538461539,-1227.7780234838779
02,5min,50,50,100,190,-576.5999999999949,-3.0347368421052363,0.3473684210526316,0.9034193502999938,-1292.1599999999926,0.2578947368421053,0.5789473684210527,-1241.9961299399924
02,1min,20,40,250,156,-498.31999999999243,-3.194358974358926,0.2692307692307692,0.8936624692448711,-1446.0399999999936,0.03205128205128205,0.6987179487179487,-1242.607506151015
02,5min,30,50,200,164,-625.0099999999948,-3.8110365853658217,0.3048780487804878,0.8860246583985727,-1239.929999999993,0.06097560975609756,0.6158536585365854,-1267.7700683202768
02,5min,50,60,120,190,-540.8399999999892,-2.846526315789417,0.3736842105263158,0.918018150481958,-1430.3699999999844,0.21052631578947367,0.531578947368421,-1272.42136990359
02,5min,30,50,250,164,-637.0399999999936,-3.8843902439024,0.29878048780487804,0.8849221331242684,-1253.679999999993,0.03048780487804878,0.6219512195121951,-1286.8955733751363
02,1min,20,40,150,156,-729.0899999999965,-4.673653846153824,0.28205128205128205,0.8415782852151473,-1238.8399999999965,0.10897435897435898,0.6858974358974359,-1380.1943429569653
02,1min,20,60,200,156,-607.4800000000032,-3.894102564102585,0.3525641025641026,0.897059969837154,-1621.3200000000033,0.08333333333333333,0.5833333333333334,-1438.728006032574
02,5min,80,80,100,208,-651.1699999999946,-3.130624999999974,0.4375,0.9184880029642098,-1588.03999999999,0.3173076923076923,0.4326923076923077,-1461.4923994071476
02,5min,30,40,100,164,-826.2799999999988,-5.038292682926822,0.3048780487804878,0.8179991982343537,-1201.059999999994,0.1951219512195122,0.6463414634146342,-1463.210160353125
02,5min,30,40,120,164,-819.1699999999946,-4.994939024390211,0.2926829268292683,0.8228430918818864,-1249.9499999999898,0.1402439024390244,0.6585365853658537,-1479.5763816236122
02,5min,50,80,100,190,-667.1399999999921,-3.5112631578946956,0.4368421052631579,0.9081639816807018,-1603.8699999999917,0.3105263157894737,0.4263157894736842,-1487.4422036638477
02,5min,50,60,100,190,-794.3499999999913,-4.180789473684165,0.37894736842105264,0.8784481267989491,-1422.9199999999873,0.2736842105263158,0.5263157894736842,-1530.1203746401952
02,1min,50,40,200,186,-690.75,-3.713709677419355,0.25806451612903225,0.8785816864445659,-1653.1200000000026,0.07526881720430108,0.7150537634408602,-1541.5936627110882
02,5min,30,60,120,164,-932.4799999999886,-5.685853658536516,0.3719512195121951,0.8366826513848575,-1236.2699999999822,0.17682926829268292,0.5304878048780488,-1583.2784697230084
02,1min,20,40,120,156,-831.2799999999952,-5.328717948717918,0.2948717948717949,0.8160156345101278,-1509.9199999999946,0.16025641025641027,0.6730769230769231,-1623.036873097967
02,1min,20,60,250,156,-703.260000000002,-4.508076923076936,0.34615384615384615,0.882068653262455,-1877.4600000000028,0.038461538461538464,0.5897435897435898,-1665.5762693475124
02,1min,50,40,250,186,-714.0799999999981,-3.8391397849462265,0.25268817204301075,0.8754006710858996,-1886.9699999999975,0.026881720430107527,0.7204301075268817,-1682.484865782817
02,1min,20,50,200,156,-834.5599999999977,-5.349743589743575,0.3076923076923077,0.8461524281097745,-1712.9900000000016,0.07051282051282051,0.6538461538461539,-1721.8245143780437
02,5min,30,60,100,164,-1047.049999999992,-6.384451219512147,0.3780487804878049,0.8146033196284466,-1311.5199999999859,0.24390243902439024,0.524390243902439,-1739.8893360742957
02,5min,30,50,120,164,-1037.9099999999926,-6.328719512195077,0.3231707317073171,0.805187199801793,-1437.6399999999885,0.15853658536585366,0.5975609756097561,-1795.6925600396282
02,5min,30,50,100,164,-1068.3399999999965,-6.514268292682906,0.3353658536585366,0.7954833040758237,-1428.7499999999927,0.21951219512195122,0.5853658536585366,-1823.618339184828
02,1min,20,60,150,156,-974.2000000000044,-6.244871794871822,0.358974358974359,0.8331649341530655,-1726.6700000000055,0.1346153846153846,0.5769230769230769,-1870.902013169394
02,1min,30,40,200,169,-990.3999999999942,-5.860355029585764,0.2485207100591716,0.8105226506167016,-1689.7599999999984,0.07692307692307693,0.7218934911242604,-1873.175469876653
02,1min,20,60,100,156,-1005.7599999999984,-6.4471794871794765,0.38461538461538464,0.8201205444172198,-1694.3100000000013,0.2564102564102564,0.5512820512820513,-1888.8908911165552
02,1min,80,40,200,198,-892.260000000002,-4.506363636363647,0.23737373737373738,0.8568951773934601,-2041.0800000000017,0.08080808080808081,0.7373737373737373,-1941.420964521311
02,1min,20,50,250,156,-937.5299999999952,-6.009807692307661,0.30128205128205127,0.8288113588930346,-1976.3199999999997,0.03205128205128205,0.6602564102564102,-1959.9277282213882
02,1min,20,80,200,156,-1043.4300000000076,-6.688653846153895,0.40384615384615385,0.8458416561277425,-1777.0900000000074,0.08333333333333333,0.4935897435897436,-1962.8066687744629
02,1min,20,50,100,156,-1110.5099999999948,-7.118653846153813,0.33974358974358976,0.7849761549319509,-1638.4599999999991,0.22435897435897437,0.6217948717948718,-1972.7447690136041
02,1min,20,50,150,156,-1111.2799999999988,-7.123589743589736,0.3141025641025641,0.7931574901490716,-1728.3400000000038,0.12179487179487179,0.6474358974358975,-2016.8185019701864
02,1min,30,40,250,169,-1036.6499999999905,-6.1340236686389975,0.24260355029585798,0.8032552604758786,-1896.3699999999953,0.029585798816568046,0.727810650887574,-2024.1839479048126
02,1min,50,40,150,186,-1149.1299999999974,-6.178118279569879,0.26344086021505375,0.7965064697955205,-1762.880000000001,0.11290322580645161,0.7096774193548387,-2071.268706040894
02,1min,80,40,250,198,-938.5,-4.73989898989899,0.23232323232323232,0.8504861391012599,-2247.6899999999987,0.030303030303030304,0.7424242424242424,-2092.2477721797472
02,1min,20,80,100,156,-1254.2000000000044,-8.039743589743617,0.4358974358974359,0.8027540826853874,-1736.570000000007,0.28205128205128205,0.46153846153846156,-2161.9341834629304
02,1min,20,80,150,156,-1272.2700000000114,-8.155576923076996,0.41025641025641024,0.8097272738149347,-1744.5600000000122,0.14102564102564102,0.48717948717948717,-2182.6045452370304
02,1min,20,60,120,156,-1107.4400000000023,-7.098974358974374,0.3717948717948718,0.8062323937501089,-2087.7500000000036,0.19230769230769232,0.5641025641025641,-2190.0685212499825
02,1min,20,80,250,156,-1159.2100000000064,-7.430833333333374,0.3974358974358974,0.8307860963191323,-2053.230000000007,0.038461538461538464,0.5,-2219.6677807361834
02,1min,30,40,100,169,-1366.479999999996,-8.085680473372756,0.28402366863905326,0.7253312053644121,-1773.119999999999,0.1834319526627219,0.6863905325443787,-2307.973758927113
02,1min,20,50,120,156,-1253.4699999999975,-8.035064102564087,0.3269230769230769,0.7620862507805697,-2029.420000000002,0.17307692307692307,0.6346153846153846,-2315.7627498438846
02,1min,30,40,150,169,-1392.1599999999962,-8.237633136094653,0.25443786982248523,0.7315029286346609,-1813.9099999999999,0.10059171597633136,0.7159763313609467,-2352.814414273064
02,1min,50,40,120,186,-1338.939999999995,-7.198602150537607,0.27419354838709675,0.759313752806485,-2089.579999999998,0.16129032258064516,0.6989247311827957,-2431.867249438697
02,1min,20,80,120,156,-1385.1000000000095,-8.878846153846215,0.4230769230769231,0.7876447284501777,-2125.2300000000105,0.20512820512820512,0.47435897435897434,-2490.186054309979
02,1min,30,50,200,169,-1326.1599999999962,-7.847100591715954,0.28994082840236685,0.7790705422947242,-2272.790000000001,0.07692307692307693,0.6686390532544378,-2506.740891541052
02,1min,80,50,200,198,-1297.550000000003,-6.553282828282843,0.2777777777777778,0.8197506751275235,-2462.1900000000023,0.08585858585858586,0.6868686868686869,-2564.6948649744995
02,1min,30,60,200,169,-1371.3400000000001,-8.114437869822487,0.3254437869822485,0.7947882248719053,-2322.3300000000017,0.08875739644970414,0.6153846153846154,-2573.54735502562
02,1min,50,40,100,186,-1517.319999999996,-8.15763440860213,0.2849462365591398,0.7230667584107354,-2036.4099999999962,0.1827956989247312,0.6881720430107527,-2590.9116483178473
02,1min,30,40,120,169,-1494.349999999995,-8.842307692307662,0.26627218934911245,0.7070482120207576,-2100.989999999998,0.14792899408284024,0.7041420118343196,-2603.4353575958426
02,1min,80,50,250,198,-1303.7900000000009,-6.584797979797984,0.2727272727272727,0.8201827700727106,-2628.7999999999993,0.03535353535353535,0.6919191919191919,-2654.1534459854583
02,1min,50,50,200,186,-1411.0400000000009,-7.58623655913979,0.2903225806451613,0.7870655415112332,-2429.230000000003,0.07526881720430108,0.6720430107526881,-2668.241891697756
02,1min,30,50,250,169,-1382.4099999999926,-8.179940828402323,0.28402366863905326,0.7716775894190252,-2489.399999999998,0.029585798816568046,0.6745562130177515,-2672.7744821161864
02,1min,30,60,250,169,-1420.3999999999978,-8.404733727810639,0.31952662721893493,0.7894006428884911,-2531.75,0.03550295857988166,0.621301775147929,-2728.3948714222997
02,1min,50,50,250,186,-1444.369999999999,-7.765430107526877,0.2849462365591398,0.7837329156834326,-2645.84,0.026881720430107527,0.6774193548387096,-2810.5434168633124
02,1min,80,40,150,198,-1629.2299999999996,-8.22843434343434,0.23737373737373738,0.7386964896608025,-2329.4300000000003,0.11616161616161616,0.7373737373737373,-2846.2057020678394
02,1min,30,50,150,169,-1612.3499999999985,-9.54053254437869,0.2958579881656805,0.7290459513598537,-2366.1600000000035,0.11834319526627218,0.6627218934911243,-2849.6208097280296
02,1min,50,60,200,186,-1576.2200000000048,-8.474301075268842,0.3225806451612903,0.787759070148224,-2528.770000000004,0.08602150537634409,0.6236559139784946,-2883.053185970362
02,1min,50,50,150,186,-1718.5299999999988,-9.239408602150531,0.2956989247311828,0.7386123042478372,-2420.340000000004,0.12365591397849462,0.6666666666666666,-2980.977539150433
02,1min,50,60,250,186,-1602.3600000000042,-8.614838709677443,0.3172043010752688,0.7860256177422622,-2738.1900000000023,0.03225806451612903,0.6290322580645161,-3014.249876451553
02,1min,30,60,150,169,-1747.5300000000025,-10.340414201183446,0.33136094674556216,0.7360449871309975,-2505.7000000000044,0.1301775147928994,0.6094674556213018,-3053.1710025738053
02,1min,30,50,100,169,-1833.1699999999946,-10.847159763313577,0.3136094674556213,0.6836438501787866,-2499.869999999999,0.20118343195266272,0.6449704142011834,-3146.3762299642367
02,1min,30,50,120,169,-1784.5399999999972,-10.559408284023652,0.3076923076923077,0.6947751187006557,-2691.2400000000016,0.16568047337278108,0.650887573964497,-3191.2049762598667
02,1min,80,40,120,198,-1896.5599999999977,-9.578585858585846,0.2474747474747475,0.6916668969811465,-2631.649999999998,0.15656565656565657,0.7272727272727273,-3274.0516206037673
02,1min,50,60,150,186,-1973.7100000000028,-10.61134408602152,0.3279569892473118,0.7319989245793362,-2593.8800000000047,0.13440860215053763,0.6182795698924731,-3324.250215084138
02,1min,80,50,150,198,-1938.630000000001,-9.791060606060611,0.2777777777777778,0.730694964604425,-2686.890000000003,0.13636363636363635,0.6868686868686869,-3335.9360070791176
02,1min,80,60,200,198,-1784.8500000000095,-9.014393939393987,0.30303030303030304,0.7815510809540582,-3041.2500000000036,0.09090909090909091,0.6464646464646465,-3349.1647838091994
02,1min,50,50,120,186,-1948.3399999999965,-10.474946236559122,0.3064516129032258,0.698895317928366,-2779.040000000001,0.17204301075268819,0.6559139784946236,-3398.080936414324
02,1min,30,60,100,169,-2039.6299999999974,-12.068816568047321,0.34911242603550297,0.6830195071613291,-2670.9300000000003,0.22485207100591717,0.591715976331361,-3438.4910985677316
02,1min,30,60,120,169,-1959.7200000000012,-11.595976331360953,0.3431952662721893,0.6983449702611841,-2866.7800000000025,0.17751479289940827,0.5976331360946746,-3453.4410059477655
02,1min,80,40,100,198,-2094.9399999999987,-10.580505050505044,0.25757575757575757,0.6546997614970143,-2628.029999999999,0.17676767676767677,0.7171717171717171,-3478.0150477005955
02,1min,30,80,200,169,-2069.040000000008,-12.242840236686439,0.3668639053254438,0.7329119904578223,-2738.7500000000073,0.08875739644970414,0.5207100591715976,-3491.8326019084475
02,1min,80,60,250,198,-1833.9000000000087,-9.262121212121256,0.29797979797979796,0.7772381859348722,-3250.670000000002,0.03535353535353535,0.6515151515151515,-3503.787362813035
02,1min,50,50,100,186,-2200.2599999999948,-11.82935483870965,0.3118279569892473,0.657207757406554,-2791.409999999996,0.1935483870967742,0.6505376344086021,-3664.523448518682
02,1min,30,80,250,169,-2138.100000000006,-12.651479289940863,0.3609467455621302,0.7268881264482039,-2968.1700000000055,0.03550295857988166,0.5266272189349113,-3676.8073747103676
